PSMD11	PSMA1
KIF23	RACGAP1
RB1	E2F1
SNAP29	VAMP8
SMG7	UPF1
RPS7	RPS25
PSMC4	PSMA1
STX6	VPS51
GNB4	PDCL
CREBBP	TP53
RPL22	RPS6
RPL38	RPS20
RPL35	RPS4X
MLH1	MSH6
VCL	TLN1
RPL3L	RPL18
RPL35	RPS18
CDC20	ANAPC4
BRCC3	UIMC1
SUZ12	EZH2
HLA-B	B2M
EEF2	RPSA
RPS12	RPL11
AGO2	TNRC6A
RPL37	RPL4
RPL18A	RPS27
RPS27A	RPSA
RPS23	RPS29
RPS14	RPL28
CDK4	CCND3
AURKA	TACC3
MRPS10	MRPS5
NPHP4	RPGRIP1L
DIS3L	EXOSC9
RPL11	RPL28
CENPE	CENPF
RPS17	RPL10
RPL8	RPL26
DYNC1LI2	DYNC1H1
NDUFS6	NDUFS8
ASH2L	WDR5
YKT6	STX5
NOB1	TSR1
VPS41	VPS11
RPL7	RPS28
RPS9	RPL38
CDT1	ORC1
RPL3	RPL32
CTNNBL1	CWC15
RMI1	BLM
CDC5L	SF3A3
BUB3	CDC27
PSMA1	PSMC3
RPL37	RPL6
RPS27	RPS29
RPS7	RPL6
SNRNP200	NHP2L1
GANAB	PRKCSH
UBE2S	CDC27
NUP85	SEC13
RPL21	RPS25
RPL29	RPLP0
RPS26	RPL39
MRPL3	ICT1
RPS12	RPL5
RPL32	RPS13
RPL11	RPS6
MRPL13	MRPL46
BUB1B	BUB3
CDC6	CDC45
RPS17	RPL39
RPS21	RPL10
RPS3A	RPL34
NDUFS7	NDUFAB1
RPS27A	RPL23
SNAP23	VAMP2
NDUFS3	NDUFA5
MTA1	HDAC1
INTS5	POLR2A
PARK2	PINK1
DIS3	EXOSC8
KPNB1	KPNA2
MED4	MED1
NOL6	WDR43
RPS17	RPS29
NDUFS3	NDUFAB1
PSMD11	PSMB5
RPL19	RPS29
RPL13	RPL14
RPS16	RPLP1
RPS27	RPL13A
RRP9	IMP4
MRPS7	MRPS16
RPL31	RPL23
RPL38	RPS26
RPL11	RPL37A
ERCC3	ERCC5
NEDD8	DCUN1D1
RPL32	RPLP0
CASC3	UPF1
PSMA6	PSMC5
RPS9	RPL34
RPS9	RPL21
RPL11	RPL18
MCM7	MCM10
RPS8	RPL29
RPL3	RPS6
RPS27A	RPS15A
DDB1	CUL4A
RPL35	RPL5
RPL35	RPS28
GTF2F2	GTF2B
RPS12	RPS7
RPLP1	RPL27
RPL27A	RPS6
RPL38	RPS2
NDUFS6	NDUFA7
BUB1B	NEK2
RPL4	RPS29
NCAPH	SMC2
RPL28	RPS28
RPL10	RPL28
GNG12	GNB1
PSMD4	PSMD14
RPL19	RPS6
RPL36A	RPL23
TAF7	TAF13
ASUN	INTS6
VPS4B	CHMP2B
RPL13A	RPL28
RPL13	RPS28
CDK7	ERCC3
TBP	GTF2A2
RPS3	RPL23
UTP15	DCAF13
GNB2	GNG2
RPL10A	RPS6
MCM5	ORC5
NDUFV2	NDUFAB1
FANCF	FANCG
MED1	MED12
CDKN1B	CCND3
PRKAB2	PRKAA2
LAMTOR4	LAMTOR3
RPL21	RPS13
NDNL2	NSMCE1
NDUFC2	NDUFA13
RPS26	RPS29
RPL17	RPS5
GTF2E1	GTF2F1
KAT2B	TADA3
EIF3E	RPS10
WDR48	USP1
TAF3	TAF6
RPS6	RPS14
TFB2M	POLRMT
RPS4X	RPL34
EIF4A1	EIF4E
EIF4A3	CWC22
APITD1	FANCF
WDR24	SEH1L
UPF3B	UPF1
RPL5	RPL36A
RPS27A	RPS9
UPF3B	UPF2
RPL39	RPL6
TACC3	CKAP5
GSK3B	AKT1
WDR43	TBL3
RPL3L	RPL27A
BUB1	ZWINT
RPL34	RPS13
TAF13	TBP
RPS26	RPL23
WIBG	RBM8A
RPS29	RPS10
NDUFA2	NDUFA13
RPL12	RPL39
TBP	TAF1
CREBBP	RELA
RBX1	SKP1
PTCD3	MRPS18B
RPS7	RPLP0
MRPS5	DAP3
GNB2	GNG7
RPS7	RPL10A
PRKAB1	PRKAA2
NEDD8	UBA3
RPLP1	RPL12
RPS16	RPL10
RPS4X	RPS29
LY96	TLR4
MTA2	RBBP7
RPL19	RPL3L
PSMD14	PSMD6
CDC20	CDC23
RNF7	CUL5
DEPDC5	NPRL3
RPS21	RPS19
ORC2	CDC45
RPL13A	RPL35A
POLA2	PRIM2
SMG9	SMG8
SF3B3	PRPF31
RPL39	RPL28
RPS8	RPL32
RPS3A	RPL36
EIF3E	EIF3B
PABPC1	RBM8A
GATAD2B	MBD3
PIGU	GPAA1
RNPS1	UPF1
PSMD11	PSMD14
MCM4	ORC5
SMG5	UPF3A
PELP1	LAS1L
PSMB4	PSMC2
U2AF2	HNRNPM
HNRNPA2B1	PTBP1
RPL37	RPL13A
RPL7	RPL28
RPS18	RPL36
CREBBP	CITED2
DOCK1	ELMO1
RPS17	RPL5
RPL37A	RPS19
RPL37	RPL12
BCL9	PYGO1
PRKAB2	PRKAA1
ATG3	ATG5
RPS23	RPL34
RPL37	RPS15A
CDK4	CCNA2
RPL6	RPS19
YWHAB	YWHAZ
NDUFA6	NDUFA13
RPL32	RPS28
FZR1	CDC27
PAF1	CTR9
BYSL	WDR3
RPS3A	RPS19
CRY1	PER2
RPLP2	RPS25
EIF2S3	EIF2S1
RPL35	RPLP0
PSMD7	PSMD14
GTF2F2	GTF2E2
EEF1G	EEF1D
RPL14	RPS15
MPHOSPH10	UTP15
PSMB5	PSMD6
PSMC1	PSMB4
RPL13	RPS14
CNOT2	RQCD1
RPL11	RPL9
PSMB7	PSMC1
PSMD14	PSMA1
HDAC1	RBBP7
RPL34	RPS18
POLR2B	POLR2H
CDK4	CDKN1A
RPS24	RPL28
COPS4	COPS2
SF3B1	DDX42
RPL19	RPS7
MRPL4	DAP3
RPL23	RPS20
RPL23A	RPS19
ABI2	BRK1
CDK7	ERCC2
RPL23	RPS15
TRAPPC1	TRAPPC2
RPL27A	RPS28
RPL38	RPL23A
RAMP1	CALCRL
EIF3E	EIF3A
FANCE	FANCC
RPS6	RPL9
RPS27	RPS6
RPS3A	RPL11
RPL39	RPS20
RPS2	RPL36
RPL38	RPS19
RPL8	RPL10
PEX14	PEX5
FANCE	APITD1
CCNA2	CDKN1A
HNRNPA1	TRA2B
RPL39	RPS28
TNFSF4	TNFRSF4
RPL13	RPL11
LAMTOR1	LAMTOR4
POLR2B	GTF2F1
RPL37	RPL7A
RPLP1	RPL35A
TAF7	TAF5
PSMD14	PSMC3
RPL11	RPL13A
GNB3	GNG5
RPS23	RPL23
MCM2	POLA1
GNB2	GNG12
ATP6V1D	ATP6V1C2
RPL14	RPS10
RPS7	RPL13A
RPS2	RPL29
PSMC1	PSMB5
PSMA3	PSMC2
RPL38	RPS8
